lost_item,lost_category,lost_desc,matched_item,matched_category,matched_desc,nlp_score,cv_score,hybrid_score,is_match
Backpack,backpack,A small brown backpack with multiple pockets and a Puma logo on the front.,Backpack,backpack,A large brown school backpack with side mesh pockets for water bottles.,0.5443,1.0,0.8177,True
Backpack,backpack,A large pink school backpack with side mesh pockets for water bottles.,Backpack,backpack,A large black school backpack with side mesh pockets for water bottles.,0.9695,0.5523,0.7192,True
Backpack,backpack,A Nike backpack in grey with a padded laptop sleeve inside.,Backpack,backpack,A worn grey backpack with a top zipper pocket and thin shoulder straps.,0.5911,1.0,0.8364,True
Backpack,backpack,A large white backpack with multiple pockets and a Apple logo on the front.,Backpack,backpack,A worn white backpack with a top zipper pocket and adjustable shoulder straps.,0.5097,1.0,0.8039,True
Backpack,backpack,A medium orange backpack with multiple pockets and a Apple logo on the front.,Backpack,backpack,A Lenovo backpack in orange with a padded laptop sleeve inside.,0.5511,1.0,0.8204,True
Backpack,backpack,A worn black backpack with a side zipper pocket and adjustable shoulder straps.,Backpack,backpack,A large black school backpack with side mesh pockets for water bottles.,0.457,1.0,0.7828,True
Backpack,backpack,A medium navy backpack with multiple pockets and a Nike logo on the front.,Backpack,backpack,"A navy backpack with adjustable straps and a large main compartment, suitable for carrying books.",0.4718,1.0,0.7887,True
Backpack,backpack,A medium white backpack with multiple pockets and a Lenovo logo on the front.,Backpack,backpack,A worn white backpack with a side zipper pocket and wide shoulder straps.,0.5315,1.0,0.8126,True
Backpack,backpack,A Nike backpack in orange with a padded laptop sleeve inside.,Backpack,backpack,A Huawei backpack in orange with a padded laptop sleeve inside.,0.8911,1.0,0.9564,True
Backpack,backpack,"A black backpack with thin straps and a small main compartment, suitable for carrying books.",Backpack,backpack,"A navy backpack with adjustable straps and a large main compartment, suitable for carrying books.",0.8284,0.6298,0.7092,True
Comb,comb,A brown wide-tooth comb with a protective carry case.,Suitcase,suitcase,A white fabric suitcase with a Huawei logo tag and two front zip pockets.,0.3685,0.4433,0.4134,False
Comb,comb,"A small black comb used for hair grooming, slightly bent on one side.",Cup,cup,A grey mug with a hairline crack on the handle and Samsung branding.,0.3584,0.4472,0.4117,False
Comb,comb,A white wide-tooth comb with a protective carry case.,Sneakers,sneakers,A size 6 pair of white Samsung sneakers with a velcro strap and reflective strip.,0.263,0.5296,0.423,False
Comb,comb,A black plastic comb with fine teeth and a long handle.,Cup,cup,A grey mug with a hairline crack on the handle and Puma branding.,0.5124,0.277,0.3711,False
Comb,comb,"A large pink comb used for hair grooming, slightly bent on one side.",Sneakers,sneakers,A worn pair of black sneakers with a Lenovo logo stitched on the side.,0.2263,0.4947,0.3873,False
Cup,cup,A grey mug with a hairline crack on the handle and Huawei branding.,Cup,cup,A grey mug with a hairline crack on the handle and Puma branding.,0.7088,1.0,0.8835,True
Cup,cup,A white ceramic cup with a Nike logo printed on the side.,Cup,cup,A white stainless steel travel cup with a screw-on lid and handle.,0.3682,1.0,0.7473,True
Cup,cup,A white stainless steel travel cup with a screw-on lid and handle.,Cup,cup,A white stainless steel travel cup with a screw-on lid and handle.,1.0,0.8041,0.8825,True
Cup,cup,A black ceramic cup with a Lenovo logo printed on the side.,Cup,cup,A black stainless steel travel cup with a screw-on lid and handle.,0.467,1.0,0.7868,True
Cup,cup,A black stainless steel travel cup with a screw-on lid and handle.,Cup,cup,A large black reusable cup found near the university cafeteria.,0.4812,1.0,0.7925,True
Cup,cup,A medium grey reusable cup found near the university cafeteria.,Cup,cup,A large black reusable cup found near the university cafeteria.,0.9139,0.6793,0.7732,True
Cup,cup,A grey stainless steel travel cup with a screw-on lid and handle.,Cup,cup,A large grey reusable cup found near the university cafeteria.,0.462,1.0,0.7848,True
Cup,cup,A green mug with a hairline crack on the handle and Reebok branding.,Cup,cup,A small green reusable cup found near the university cafeteria.,0.3062,1.0,0.7225,True
Cup,cup,A large grey plastic cup with a fitted lid and straw slot.,Cup,cup,A large white plastic cup with a fitted lid and straw slot.,0.9607,0.6467,0.7723,True
Cup,cup,A large white reusable cup found near the university cafeteria.,Cup,cup,A white ceramic cup with a Puma logo printed on the side.,0.4719,1.0,0.7888,True
